19
805 963
166 95 821
576 541 930
159 560 969
211 190 186
33 377 -854
121 468 -769
693 149 -481
739 358 389
46 452 195
491 662 -927
80 246 107
489 704 -186
180 545 166
553 701 633
490 738 927
34 764 -78
780 309 -613
47 263 439
74 536 -165
503 58 -909
572 400 -793
678 686 704
216 375 688
26 164 764
380 759 -18
507 552 -405
701 476 -752
466 239 32
158 412 -662
160 774 -955
462 177 -872
749 331 -98
716 293 -381
699 649 758
224 157 -997
84 691 888
32 91 161
250 142 198
456 765 -669
589 742 353
93 681 290
52 394 -622
399 766 -778
178 51 -113
199 794 -132
118 523 799
200 314 -156
774 411 -124
606 433 -823
33 570 354
640 237 -572
160 418 615
125 181 581
646 157 767
92 228 -463
1 42 -493
340 264 -266
447 789 587
731 349 682
336 627 877
521 650 860
615 663 -406
75 356 710
796 617 -110
126 679 -720
259 231 -704
138 191 174
89 281 -164
801 498 602
126 650 305
99 115 508
20 612 -831
303 664 -449
611 167 79
74 371 667
328 704 935
756 505 -150
752 605 -883
111 182 5
703 319 -61
311 221 -370
598 320 913
88 708 688
90 359 409
207 608 355
578 449 788
193 214 461
619 292 669
591 672 -631
205 90 256
744 15 453
461 272 -292
356 624 -556
182 148 915
9 163 131
727 386 114
425 22 -393
188 573 -88
554 224 -252
700 92 -839
641 400 910
250 733 387
91 764 -173
599 340 -276
246 177 82
797 223 -917
472 143 885
40 314 -582
346 747 482
306 562 -540
556 16 -485
729 730 -404
280 464 831
143 342 -693
575 615 -95
55 553 -789
631 368 -996
400 232 -418
118 307 974
524 394 -520
528 636 323
189 445 510
195 360 278
170 441 -380
277 319 -860
729 249 -173
22 725 -961
580 31 -526
788 558 -214
310 747 692
85 604 -25
513 230 337
637 6 42
668 315 -497
122 181 -862
633 459 729
3 143 -500
122 601 -229
754 705 727
400 9 -656
18 670 8
389 733 615
563 480 -219
115 480 860
500 730 -859
621 792 100
690 687 713
142 536 -535
86 283 -804
491 34 281
704 599 260
129 664 414
338 576 373
267 179 -131
800 417 275
358 568 296
288 634 710
254 119 600
708 701 705
309 54 506
645 271 -906
311 769 -309
450 78 -355
802 575 -438
543 111 -706
20 132 161
35 380 -935
150 107 -465
735 785 306
349 650 -2
501 745 -765
105 338 -97
224 505 23
647 466 523
562 186 436
647 559 -748
758 406 -569
209 245 300
90 623 -208
180 197 -787
318 596 577
618 631 -118
748 416 -9
604 654 -601
622 591 474
50 461 -874
356 467 -515
26 171 -130
745 157 429
408 555 708
440 275 -82
297 159 609
346 59 186
466 217 41
142 14 54
296 161 946
511 312 -708
203 391 954
645 61 376
297 367 -174
714 694 393
773 105 166
472 383 -948
529 117 -595
202 364 -580
525 16 -110
441 206 -250
119 259 204
645 415 232
681 440 -696
408 625 -732
210 192 -337
62 626 469
605 21 455
423 563 -383
731 669 -688
274 343 -558
138 289 -953
268 29 -1000
771 24 -969
501 690 66
613 3 -962
229 733 -238
333 762 481
285 468 70
688 784 -179
206 623 -758
359 150 254
121 339 -563
87 564 -607
761 305 854
716 332 265
247 583 -840
481 500 257
512 553 173
565 455 -974
706 638 879
265 324 -311
716 301 670
705 803 884
725 427 161
281 796 -495
344 281 526
601 131 -469
283 153 -970
365 61 895
780 553 629
639 452 42
576 538 352
115 150 544
434 601 -2
564 801 -842
795 28 -890
36 753 -470
182 340 -608
16 85 -79
381 499 459
694 279 -597
305 128 431
108 269 -12
38 139 755
287 127 -234
230 270 -479
532 18 -894
758 292 387
746 432 822
573 22 466
94 172 -174
711 431 556
79 207 -611
666 585 -347
337 803 -315
400 319 723
666 446 -965
570 505 143
119 199 609
733 640 -655
571 484 737
228 347 842
149 621 -937
744 27 323
470 736 617
379 192 -243
406 227 -382
720 296 -626
146 795 -156
365 7 49
204 721 520
298 623 827
355 712 368
10 413 814
466 362 -518
230 188 171
491 488 204
304 635 574
770 391 177
705 258 489
663 786 -317
247 81 15
220 262 -62
224 438 -166
136 155 6
215 211 126
626 3 131
413 197 -417
75 359 784
910 866
470 263 -660
309 826 -913
754 718 -379
626 900 -40
44 503 146
225 346 141
393 552 -29
711 788 568
408 215 -207
161 421 627
186 661 -450
841 461 812
510 679 -324
735 40 -22
36 556 122
720 311 874
678 51 563
200 532 -492
368 466 400
107 464 199
135 233 167
612 382 -574
50 715 -874
85 436 21
767 614 -729
315 337 -920
233 806 -615
909 535 924
884 249 949
139 274 -380
88 540 424
573 181 391
736 181 -760
57 695 -694
250 447 511
106 670 484
755 48 -822
807 270 -829
765 528 -106
132 134 890
30 666 -676
12 172 -250
10 121 238
101 108 297
540 476 439
235 502 -223
516 801 -768
496 192 786
876 5 648
106 289 -239
265 808 889
738 469 -288
710 353 901
869 15 -305
157 538 340
231 252 558
393 335 17
503 395 164
106 593 958
730 9 737
270 708 -573
790 215 894
900 338 66
722 335 2
661 23 -372
687 824 -410
174 574 484
463 837 -986
189 146 49
582 156 734
180 585 767
555 359 -644
546 668 -55
427 40 447
275 428 689
89 345 333
800 10 362
395 776 146
763 816 543
631 330 -648
430 395 -227
208 456 131
697 331 -689
464 230 866
855 685 -727
579 574 579
401 658 321
707 695 -142
362 558 57
538 812 814
121 474 626
601 886 -779
68 88 -650
291 372 -615
222 807 -914
332 17 -804
846 898 776
832 41 -660
4 708 -834
460 703 568
406 168 272
381 427 -388
315 54 136
554 277 454
401 878 143
639 327 -634
198 432 908
757 30 -990
369 877 87
874 426 66
893 430 -761
555 606 920
788 24 843
275 195 897
880 641 -433
582 703 -792
448 786 179
135 820 489
737 258 519
335 269 755
725 25 -992
838 228 676
116 233 114
880 809 -287
787 617 -470
309 475 192
402 260 -560
618 323 820
300 525 -313
441 121 773
871 184 686
64 335 359
754 276 -175
187 299 149
730 722 -559
795 630 -89
306 806 258
540 12 -772
359 403 599
618 331 611
233 713 140
306 297 287
526 645 227
57 501 -961
829 782 -826
708 798 656
683 227 894
154 240 -397
158 759 -921
807 450 -170
20 554 -536
381 498 268
237 327 -288
645 475 535
685 775 -419
298 273 -930
566 173 105
30 373 -693
868 648 817
262 709 718
428 144 -235
147 18 -877
569 450 890
456 815 719
407 28 56
890 288 -191
719 645 -764
402 44 -573
868 567 514
133 119 -848
815 495 -505
863 146 259
213 163 -87
248 272 270
889 461 107
552 169 -901
121 231 124
694 623 -397
273 679 681
508 681 -493
256 648 678
318 490 -995
661 875 906
629 856 966
18 481 305
441 36 960
443 11 -4
675 517 807
340 416 -504
814 95 734
309 787 426
317 408 -794
8 793 751
672 520 577
573 773 -964
532 786 -604
228 394 -121
40 281 409
845 693 -892
102 543 -906
708 829 -353
595 509 862
8 795 992
708 429 768
906 877 245
708 756 729
524 36 419
872 335 -875
606 643 352
553 898 -754
769 668 -834
736 22 -880
277 289 161
289 368 -33
837 307 -214
421 687 648
137 644 266
90 763 -874
874 291 962
579 644 915
334 427 -746
463 642 -987
654 736 -265
589 805 -611
450 533 -255
461 604 -848
613 557 -976
382 443 852
109 312 -84
34 398 -258
128 353 -121
62 267 -781
92 700 181
589 580 157
775 123 603
857 142 -871
871 635 166
456 289 262
205 253 -188
421 309 -302
345 468 528
226 880 671
115 702 359
60 848 -996
784 701 -459
360 481 655
771 503 -31
628 281 -946
679 427 -678
580 143 -314
621 446 969
851 173 865
841 774 718
239 174 -923
520 607 -696
436 465 52
89 302 686
43 495 -276
22 121 -633
885 609 -378
638 872 -943
764 657 426
713 329 285
187 761 404
543 861 -690
160 628 987
70 499 -111
649 457 705
92 519 -692
268 589 836
850 403 789
197 312 766
459 193 -773
393 41 419
534 520 -951
546 717 285
433 897 -785
105 228 -147
38 137 736
629 829 759
546 384 -239
385 125 -228
745 609 873
806 627 -932
18 735 189
861 884 861
249 798 425
806 338 222
702 831 100
626 410 775
826 876 649
200 245 -301
863 261 645
306 620 400
814 465 -918
695 534 405
807 490 -21
563 14 698
570 575 115
10 384 -777
270 54 -438
642 759 -826
664 533 97
793 656 666
767 349 -669
352 160 -516
703 646 -965
877 66 348
371 200 859
160 313 -906
281 85 -883
531 200 139
530 723 -726
15 558 -2
545 710 487
409 125 415
670 741 -826
241 52 -880
569 520 -770
347 112 265
740 279 -771
484 155 533
556 520 449
65 872 -821
488 286 658
80 889 -18
710 462 -586
360 277 -658
885 504 799
504 258 444
729 669 -545
274 623 745
456 479 -513
382 357 800
323 822 -130
3 265 748
552 892 -245
543 739 26
143 899 576
898 325 -381
69 779 -975
11 757 494
463 839 -552
806 8 -479
128 326 -871
806 820 102
424 877 -179
227 436 -834
389 41 663
364 326 687
22 122 -803
248 358 -835
181 604 366
427 474 -174
655 483 -638
401 764 138
5 185 69
472 187 -315
622 790 894
245 612 326
833 390 -372
877 307 -988
644 189 782
593 506 728
15 224 -190
311 753 -186
19 884 407
731 207 -691
766 705 -430
387 319 264
760 712 742
530 316 -378
794 99 766
687 217 -128
774 449 -332
863 500 -532
600 627 -146
233 353 -745
10 892 593
671 585 797
240 208 538
694 11 596
260 390 332
663 134 -396
874 742 -125
367 136 -99
362 226 -884
300 584 293
461 70 -701
812 100 857
313 744 249
505 447 -972
575 816 73
67 412 430
855 606 629
356 691 184
604 574 408
529 206 -699
429 148 -907
290 437 -777
642 42 216
696 271 -409
523 653 595
832 648 -335
437 102 581
804 251 -508
865 366 572
280 456 -316
304 690 79
213 25 -234
526 681 -601
720 809 -836
194 134 612
394 849 348
29 151 -992
138 637 -828
724 117 -107
405 461 799
9 49 983
812 63 877
45 130 730
520 6 -664
625 658 323
910 735 268
877 80 816
97 267 542
850 432 343
37 425 790
817 40 173
637 484 -168
660 202 -764
211 403 383
37 462 477
567 679 277
227 866 308
692 284 752
567 38 -799
484 881 -933
850 593 -779
910 365 -308
767 147 -110
33 599 327
223 788 956
19 191 683
853 835 446
63 691 902
112 180 -902
57 672 294
434 255 722
240 128 608
262 555 -994
442 435 -268
205 867 -994
195 297 640
380 800 319
357 800 44
461 293 318
879 247 302
208 80 -738
349 145 -945
774 342 395
662 762 22
33 853 -73
647 858 -34
875 237 -274
307 44 -680
737 799 830
58 287 -353
669 741 37
529 689 -360
301 813 -743
729 53 -470
244 245 -748
38 630 254
172 555 63
264 857 -673
302 463 624
698 633 -41
198 555 -198
598 677 975
900 538 164
526 686 735
193 183 400
36 209 -994
48 515 266
733 102 527
422 773 -85
513 371 -485
799 618 772
214 508 -483
585 633 -714
720 878 536
909 388 -639
721 283 -531
218 843 539
81 650 774
183 672 -349
894 787 -894
673 886 133
672 371 286
599 443 195
306 873 891
51 633 691
579 224 -903
860 199 650
555 623 -30
206 613 -768
621 246 272
29 262 942
839 803 790
209 350 774
111 499 -686
507 540 -818
227 85 -164
880 840 -615
448 694 -432
576 339 -397
852 732 -128
515 268 658
646 889 3
36 168 261
615 769 -291
831 69 421
344 134 949
616 290 -330
302 114 -239
292 24 168
660 554 -265
322 807 544
462 226 -887
238 684 -759
414 604 -705
865 243 559
364 252 355
814 223 943
103 42 697
296 43 689
582 618 845
850 151 -273
319 463 -368
280 678 -588
92 527 937
167 742 -948
677 893 -147
34 904 364
828 363 678
190 697 -749
908 541 502
299 534 713
321 281 -941
38 424 360
5 462 -851
317 660 -373
601 721 -238
55 686 298
430 567 763
780 867 -453
245 613 587
131 117 -283
56 614 632
726 171 505
697 565 709
540 147 -583
413 605 -480
366 544 -880
18 137 575
27 502 745
316 594 -786
536 581 -318
69 395 61
907 497 -742
164 105 -24
446 756 -882
218 90 -286
545 575 -29
571 722 445
888 582 -130
37 491 -671
424 765 -678
334 502 321
745 38 -643
360 819 -747
895 456 -750
734 444 168
324 506 977
14 114 -356
572 589 -752
256 421 -757
302 504 -980
430 418 796
415 671 856
428 327 -105
564 418 513
272 5 181
151 473 435
796 335 733
504 207 114
650 89 -110
224 891 -54
56 378 839
642 892 -719
908 636 -515
893 298 963
467 127 -354
337 761 -375
224 476 -856
150 141 798
319 75 -364
329 449 972
695 882 -759
27 610 772
277 672 474
628 418 524
558 28 -142
686 539 499
611 397 -693
307 617 -451
684 122 395
8 199 896
883 250 454
44 541 -711
582 670 149
296 9 -896
148 846 -497
845 69 676
747 320 -13
580 639 -568
822 485 -892
389 526 735
738 336 931
637 258 153
837 180 -710
160 13 -613
132 128 -927
831 827 -860
763 219 63
53 145 -983
510 879 874
9 820 112
221 47 -880
75 874 710
457 530 -999
446 45 441
60 518 -169
793 789 -447
304 686 -519
119 224 342
222 256 -704
125 248 649
283 663 -725
530 646 563
831 154 -804
607 195 284
288 267 -148
591 197 -733
243 365 -351
245 174 329
225 220 -274
471 505 508
555 132 616
35 57 716
495 602 814
870 312 -737
170 652 588
879 542 672
346 411 113
637 809 268
776 708 794
828 425 -607
682 259 584
649 324 473
704 77 -606
427 574 -851
26 679 336
314 541 -341
782 379 -311
343 782 41
472 52 -162
632 833 868
855 301 548
552 434 -863
168 568 571
448 49 705
483 165 601
365 573 160
258 896 -304
479 111 59
321 123 214
728 222 -403
857 905 476
216 846 -946
813 392 327
835 490 -654
415 479 626
703 680 369
621 343 387
836 837 -501
642 700 643
412 258 496
825 237 -486
349 506 -806
299 884 -503
743 763 -7
545 594 -7
398 853 -455
595 574 -328
712 151 -410
98 486 51
25 259 148
589 275 370
312 733 162
35 453 -240
172 114 640
46 629 -460
142 570 576
392 205 -903
304 689 -855
638 562 -121
529 180 126
226 462 212
665 183 714
16 584 -833
45 555 276
787 113 -943
65 681 464
266 272 -966
772 602 -503
780 681 463
363 584 -103
498 806 408
581 143 217
144 361 -427
124 909 -823
896 592 -559
477 817 165
517 712 376
633 497 -660
222 705 345
282 441 -974
123 704 512
801 768 -472
580 124 123
198 709 -396
533 520 24
684 144 740
464 516 -561
38 835 639
160 348 941
156 504 447
83 408 -997
474 632 -235
392 681 131
280 101 694
831 259 711
369 268 758
383 196 -313
111 77 971
906 446 429
765 19 24
734 117 -718
479 808 823
795 242 704
61 96 -130
822 280 22
253 286 -900
865 268 -681
40 296 900
116 160 -36
22 43 -517
457 295 529
529 600 -862
202 474 645
556 467 957
661 274 478
813 266 652
63 628 15
257 759 870
254 737 -97
669 414 329
165 808 -615
504 213 -553
738 40 -83
437 115 294
901 193 359
431 890 -599
554 613 635
630 3 603
689 324 -652
349 104 542
529 762 3
739 126 616
87 688 392
249 536 714
697 838 67
807 757 -71
391 626 863
290 120 -598
54 803 254
204 623 -44
132 823 322
603 138 125
581 884 359
754 411 24
306 905 573
1 431 254
270 688 -475
228 310 -776
387 289 -326
237 323 -671
858 652 -426
675 407 307
243 733 41
298 127 417
592 668 340
665 300 566
901 43 -825
806 597 -938
19 689 -960
583 680 -494
244 188 606
157 158 795
870 406 -875
611 169 674
512 744 -114
650 843 -588
889 704 949
537 585 -299
18 635 755
828 417 -428
296 567 992
598 387 -299
391 892 980
100 452 -531
17 232 -970
786 183 -87
580 583 492
56 523 -158
262 178 888
564 272 -518
193 813 965
858 387 151
82 600 932
459 748 -837
385 610 -50
653 601 81
211 361 -283
260 272 794
577 254 801
365 140 346
108 661 141
164 563 244
296 123 -829
213 521 -595
424 154 342
470 424 367
602 352 -446
613 579 -706
782 365 401
630 615 -196
468 337 -883
235 84 -977
296 512 -601
800 28 -660
551 80 -38
468 94 513
738 111 91
819 899
581 673 802
731 94 504
724 580 -230
645 570 -720
542 184 -824
40 271 -675
120 647 -334
493 387 209
483 18 283
735 530 -246
333 649 406
317 577 -201
70 695 -188
82 317 61
784 136 -967
440 713 -685
39 286 971
65 654 311
427 199 476
46 136 463
753 333 616
781 219 439
491 106 354
189 177 -646
564 30 519
507 592 -869
407 724 802
385 455 -484
142 268 840
709 194 371
525 651 -249
736 565 -560
21 574 -567
788 656 -471
702 96 895
139 204 -85
258 223 -355
62 564 -484
57 475 829
669 104 530
111 629 388
807 513 -116
105 618 -990
349 641 947
484 469 -225
126 544 -540
631 594 151
498 6 -105
119 249 668
371 286 466
335 819 201
580 440 920
11 300 -34
33 230 -844
355 247 899
20 646 -292
733 351 493
783 181 -385
454 283 759
451 653 -535
769 481 -938
467 119 733
6 267 212
791 594 -500
462 514 317
78 442 328
313 45 675
254 128 -659
35 418 225
230 43 -591
638 183 -821
607 181 -81
253 402 607
437 358 -527
261 191 911
188 579 -900
325 813 -240
324 377 944
35 102 712
435 688 945
147 600 293
317 168 344
502 473 -570
15 446 -970
341 493 941
289 222 -93
818 494 -534
421 385 -844
92 333 600
262 794 921
176 593 917
278 136 693
668 221 61
440 374 -373
745 296 94
675 442 532
62 57 977
253 96 -520
367 808 -159
553 17 -59
445 120 406
184 25 -418
537 561 308
178 486 381
63 490 -481
77 579 600
228 581 -924
506 700 -572
148 140 -160
639 551 879
244 97 -792
637 247 -570
736 811 297
197 328 474
66 636 -15
353 15 916
105 701 -687
163 384 -884
343 256 298
24 220 527
145 442 -261
630 430 609
254 380 787
692 787 -454
366 771 369
615 105 38
809 481 -722
794 650 -464
119 95 -335
399 677 -120
669 365 879
485 189 394
663 255 215
559 280 810
140 804 821
579 559 -339
389 452 209
330 348 -456
519 458 273
272 543 -323
813 242 -517
175 409 853
513 220 490
466 819 799
575 769 434
742 783 -709
714 381 -905
767 510 801
758 691 863
616 34 687
458 312 -511
384 472 -139
149 95 -698
276 371 -343
282 183 925
686 272 117
788 590 220
138 172 313
730 317 223
95 592 -488
713 753 -597
170 483 62
473 208 -771
583 280 210
442 529 79
7 313 -732
268 56 -266
285 477 -67
211 708 -180
504 25 915
458 192 643
490 290 -52
725 424 320
298 694 423
657 585 -550
509 129 -364
263 311 334
369 677 259
444 24 806
629 787 912
241 637 767
314 371 -356
743 139 106
597 222 804
268 783 -289
234 172 -295
734 749 951
629 172 324
323 487 660
9 701 -619
258 744 803
582 313 -522
35 690 9
811 344 770
546 110 623
750 819 -73
537 803 -223
338 215 -706
404 301 -245
748 525 268
806 797 663
394 775 984
16 788 -332
70 788 442
704 808 259
594 267 347
544 138 -669
780 440 -582
814 710 -636
682 169 -256
213 788 -825
772 442 69
81 314 -371
399 589 -708
123 354 -310
78 416 -531
803 103 -12
462 193 -198
132 177 -254
547 575 953
555 654 -99
579 517 933
714 316 -290
47 367 -219
542 779 -741
587 548 230
771 111 748
767 45 314
46 727 560
255 101 353
430 770 250
374 339 65
387 544 218
155 519 574
95 788 646
259 379 -624
648 669 914
499 591 -626
254 365 104
625 432 295
107 395 -99
15 91 -836
564 425 486
47 725 -532
139 458 -986
643 423 -980
26 809 -311
303 451 -240
392 173 38
147 239 581
597 2 -273
140 374 575
184 570 -260
64 567 -407
606 50 855
225 16 -954
567 522 -592
544 142 413
510 252 802
208 458 823
789 756 -542
41 176 662
210 279 869
113 617 936
21 43 315
529 114 -81
594 188 -897
735 420 -726
729 223 -406
31 650 261
264 464 73
241 750 335
604 125 98
413 809 -820
563 580 836
643 518 601
257 235 883
483 476 -912
310 148 -777
169 280 -949
523 273 -536
48 742 -611
96 91 432
575 545 265
549 793 803
513 547 -660
350 347 -480
631 196 488
685 205 511
564 277 332
262 600 -163
131 218 -244
783 145 -323
382 813 839
427 66 676
302 266 -398
772 496 175
1 71 810
706 701 -984
690 478 996
597 498 198
313 689 -463
614 485 809
333 504 931
134 505 -143
525 661 392
669 50 324
152 210 343
1 129 610
197 582 978
811 608 95
476 417 50
438 373 946
318 285 -851
175 704 -98
683 169 -450
787 125 112
396 253 988
752 45 -515
626 812 52
174 252 -319
369 484 -275
20 418 867
